sa4_code,sa4_name,irsd_score,population,n_lga,irsd_quintile
101,Capital Region,1011.3107249131124,238607.0,8.0,4
102,Central Coast,994.1519199999999,346596.0,1.0,3
103,Central West,977.8253920159657,212130.0,13.0,3
104,Coffs Harbour - Grafton,960.9536001102604,146127.0,3.0,2
105,Far West and Orana,952.6490655654995,116888.0,14.0,1
106,Hunter Valley exc Newcastle,974.1551620379597,293838.0,7.0,2
107,Illawarra,1000.8573373275927,313909.0,3.0,4
108,Mid North Coast,951.1785268758812,234436.0,4.0,1
109,Murray,973.9862419701943,126016.0,10.0,2
110,New England and North West,955.869892593227,185619.0,12.0,2
111,Newcastle and Lake Macquarie,1007.3831958428949,382718.0,2.0,4
112,Richmond - Tweed,985.5343809187212,257062.0,6.0,3
113,Riverina,972.2710608334268,161158.0,11.0,2
114,Southern Highlands and Shoalhaven,1001.0619650022924,161240.0,2.0,4
115,Sydney - Baulkham Hills and Hawkesbury,1080.3944412182727,410894.0,3.0,5
116,Sydney - Blacktown,987.3395271,396776.0,1.0,3
117,Sydney - City and Inner South,1030.561684,211632.0,1.0,5
118,Sydney - Eastern Suburbs,1078.495101327911,256353.0,3.0,5
119,Sydney - Inner South West,959.2180475336422,698464.0,3.0,2
120,Sydney - Inner West,1044.6002701738744,357805.0,4.0,5
121,Sydney - North Sydney and Hornsby,1097.8464964042853,336406.0,5.0,5
122,Sydney - Northern Beaches,1088.639675,263554.0,1.0,5
123,Sydney - Outer South West,986.7563609827664,295844.0,2.0,3
124,Sydney - Outer West and Blue Mountains,1011.6844419438826,349746.0,3.0,4
125,Sydney - Parramatta,969.2833002876232,492168.0,2.0,2
126,Sydney - Ryde,1059.508535625608,142682.0,2.0,5
127,Sydney - South West,875.6892285252736,441921.0,2.0,1
128,Sydney - Sutherland,1078.847046,230211.0,1.0,5
201,Ballarat,986.4050577897304,189153.0,5.0,3
202,Bendigo,1005.7412435101757,200940.0,4.0,4
203,Geelong,1019.2979221917707,337012.0,4.0,4
204,Hume,995.418439213836,210705.0,10.0,3
205,Latrobe - Gippsland,972.2164399920168,301619.0,7.0,2
206,Melbourne - Inner,1033.88604815329,513028.0,4.0,5
207,Melbourne - Inner East,1066.0563699369777,337246.0,2.0,5
208,Melbourne - Inner South,1070.3831524758132,513046.0,4.0,5
209,Melbourne - North East,1023.7409293076843,567097.0,4.0,4
210,Melbourne - North West,974.0979815532945,365752.0,2.0,2
211,Melbourne - Outer East,1044.7999678479403,554914.0,4.0,5
212,Melbourne - South East,988.7677013660831,832038.0,4.0,3
213,Melbourne - West,981.7603112543705,842120.0,5.0,3
214,Mornington Peninsula,1021.9929790786233,308229.0,2.0,4
215,North West,952.4904796550585,155753.0,10.0,1
216,Shepparton,953.0538570792199,137666.0,3.0,1
217,Warrnambool and South West,987.4768618796638,128058.0,6.0,3
301,Brisbane - East,1023.9165909999999,159222.0,1.0,4
304,Brisbane - West,1045.198754,1242825.0,1.0,5
306,Cairns,966.7938555989309,237186.0,5.0,2
307,Darling Downs - Maranoa,969.4110336379441,270792.0,6.0,2
308,Central Queensland,966.3424617901635,228249.0,6.0,2
309,Gold Coast,1018.6026499999999,625087.0,1.0,4
310,Ipswich,956.561629648024,254265.0,2.0,2
311,Logan - Beaudesert,948.5906395926406,388082.0,2.0,1
312,Mackay - Isaac - Whitsunday,994.7022405206812,180889.0,3.0,3
313,Moreton Bay - North,991.7693699,476340.0,1.0,3
315,Queensland - Outback,901.8453314819114,96409.0,36.0,1
316,Sunshine Coast,1022.824301368625,398839.0,2.0,4
317,Toowoomba,948.0476937,41101.0,1.0,1
318,Townsville,979.6409493854895,234272.0,5.0,3
319,Wide Bay,917.7882214972235,307747.0,6.0,1
401,Adelaide - Central and Hills,1050.1272873269054,312375.0,9.0,5
402,Adelaide - North,928.3179401016819,371158.0,4.0,1
403,Adelaide - South,1014.3726402326844,375085.0,4.0,4
404,Adelaide - West,983.3571598137045,315939.0,3.0,3
405,Barossa - Yorke - Mid North,965.4478783734463,127202.0,14.0,2
406,South Australia - Outback,921.4157431396609,82719.0,18.0,1
407,South Australia - South East,949.7317622246942,193634.0,19.0,1
501,Bunbury,990.3108419685951,188750.0,13.0,3
502,Mandurah,959.1492743,90306.0,1.0,2
503,Perth - Inner,1081.5583334716125,163295.0,9.0,5
504,Perth - North East,1008.4005612766175,277355.0,4.0,4
505,Perth - North West,1031.2417041457622,595483.0,3.0,5
506,Perth - South East,1008.2156507907295,529906.0,8.0,4
507,Perth - South West,1022.5929565894803,442908.0,6.0,4
509,Western Australia - Wheat Belt,977.6325147086952,154576.0,55.0,3
510,Western Australia - Outback (North),955.4389168661748,90119.0,8.0,1
511,Western Australia - Outback (South),967.1608600060217,118752.0,30.0,2
601,Hobart,994.2893049622414,242830.0,6.0,3
602,Launceston and North East,952.3855835798317,151208.0,8.0,1
603,South East,947.1759726003587,45988.0,6.0,1
604,West and North West,933.5217766517245,116148.0,9.0,1
701,Darwin,1022.9070642467937,139481.0,4.0,4
702,Northern Territory - Outback,764.7767463941803,89541.0,15.0,1
801,Australian Capital Territory,1070.922935,453890.0,1.0,5
901,Other Territories,965.2427108872986,4779.0,3.0,2
