"group","label","suffix","total_rx","temp_ref","an_heat","af_heat_pct","an_extreme","af_extreme_pct","an_cold","af_cold_pct","n_obs","n_sa4","quintile"
"resp_total","Respiratory (total)","Q1",19930835,24,-367543,-1.84,-46938,-0.24,162039,0.81,8398,17,1
"resp_relievers","Resp. Relievers","Q1",6639447,24,-195657,-2.95,-26591,-0.4,75200,1.13,8398,17,1
"resp_preventers","Resp. Preventers","Q1",8328391,24,-174453,-2.09,-21852,-0.26,68193,0.82,8398,17,1
"resp_total","Respiratory (total)","Q2",16908197,24.1,-444888,-2.63,-135207,-0.8,395366,2.34,6916,14,2
"resp_relievers","Resp. Relievers","Q2",5221700,24.1,-213422,-4.09,-62788,-1.2,188746,3.61,6916,14,2
"resp_preventers","Resp. Preventers","Q2",7387569,24.1,-208764,-2.83,-65362,-0.88,194446,2.63,6916,14,2
"resp_total","Respiratory (total)","Q3",21545208,22.2,-483669,-2.24,-171983,-0.8,161464,0.75,6916,14,3
"resp_relievers","Resp. Relievers","Q3",6409111,22.2,-234134,-3.65,-78740,-1.23,57474,0.9,6916,14,3
"resp_preventers","Resp. Preventers","Q3",9915875,22.2,-257557,-2.6,-95650,-0.96,103961,1.05,6916,14,3
"resp_total","Respiratory (total)","Q4",26087796,21.9,-253132,-0.97,-129791,-0.5,115993,0.44,7904,16,4
"resp_relievers","Resp. Relievers","Q4",7182527,21.9,-106937,-1.49,-50104,-0.7,43413,0.6,7904,16,4
"resp_preventers","Resp. Preventers","Q4",12700734,21.9,-149400,-1.18,-78495,-0.62,52483,0.41,7904,16,4
"resp_total","Respiratory (total)","Q5",11171557,21.7,-280467,-2.51,-129988,-1.16,178875,1.6,3952,8,5
"resp_relievers","Resp. Relievers","Q5",2595614,21.7,-102276,-3.94,-41373,-1.59,64409,2.48,3952,8,5
"resp_preventers","Resp. Preventers","Q5",6213827,21.7,-163224,-2.63,-79632,-1.28,96141,1.55,3952,8,5
