"group","label","fourier","rr_p05","rr_p05_lo","rr_p05_hi","rr_p95","rr_p95_lo","rr_p95_hi","dispersion","qaic","n_params"
"cvd_total","Cardiovascular","2 pairs",0.9901,0.9843,0.9959,1.0041,0.9971,1.0111,81.09,34233.5,115
"cvd_total","Cardiovascular","3 pairs",0.9921,0.9866,0.9977,1.0054,0.9987,1.0122,75.12,31795.5,117
"mh_total","Mental Health","2 pairs",0.999,0.9937,1.0043,1.0033,0.9969,1.0098,25.09,34569.4,115
"mh_total","Mental Health","3 pairs",1.0001,0.9949,1.0053,1.005,0.9987,1.0113,23.71,32694.9,117
"resp_total","Respiratory","2 pairs",1.0067,0.9954,1.0182,0.9104,0.8982,0.9227,37.05,31556.2,115
"resp_total","Respiratory","3 pairs",1.0164,1.0057,1.0272,0.9116,0.9001,0.9232,32.74,28026.7,117
"resp_relievers","Resp. Relievers","2 pairs",1.0164,1.0014,1.0317,0.8682,0.853,0.8837,18.33,31095.5,115
"resp_relievers","Resp. Relievers","3 pairs",1.0299,1.0156,1.0444,0.8698,0.8555,0.8845,16.24,27729.5,117
"resp_preventers","Resp. Preventers","2 pairs",1.0044,0.9924,1.0164,0.8975,0.8848,0.9105,19.55,30839.7,115
"resp_preventers","Resp. Preventers","3 pairs",1.0139,1.0025,1.0254,0.8986,0.8865,0.9108,17.52,27798.1,117
