"group","dropped","temp_ref","temp_p95","rr_p95","rr_p95_lo","rr_p95_hi","temp_p99","rr_p99","rr_p99_lo","rr_p99_hi","n_obs","n_sa4","label"
"cvd_total","ACT",22.9,33.7,1.005,0.998,1.0121,37.5,1.0143,1.0016,1.0272,34086,69,"Cardiovascular"
"cvd_total","NSW",23,34.2,0.9965,0.9881,1.0051,37.7,1.0114,0.996,1.0269,25194,51,"Cardiovascular"
"cvd_total","NT",22.5,33,1.0055,0.9986,1.0124,37.1,1.0124,1.0004,1.0246,33592,68,"Cardiovascular"
"cvd_total","Qld",21.3,33.5,1.0032,0.995,1.0115,37.6,1.0086,0.9933,1.024,26676,54,"Cardiovascular"
"cvd_total","SA",22.9,33.7,1.0034,0.9962,1.0107,37.5,1.0106,0.9972,1.0241,31616,64,"Cardiovascular"
"cvd_total","Tas",23.3,33.8,1.0054,0.9982,1.0125,37.6,1.0147,1.0014,1.0281,32604,66,"Cardiovascular"
"cvd_total","Vic",23.6,34.1,1.0049,0.9975,1.0124,37.7,1.017,1.0033,1.0309,28158,57,"Cardiovascular"
"cvd_total","WA",22.7,33.2,1.0051,0.9974,1.0129,36.6,1.0101,0.998,1.0223,30134,61,"Cardiovascular"
"mh_total","ACT",22.9,33.7,1.0054,0.999,1.0119,37.5,1.012,1.0004,1.0237,34086,69,"Mental Health"
"mh_total","NSW",23,34.2,0.9988,0.9909,1.0068,37.7,1.0106,0.9962,1.0252,25194,51,"Mental Health"
"mh_total","NT",22.5,33,1.0052,0.9988,1.0116,37.1,1.0103,0.9992,1.0215,33592,68,"Mental Health"
"mh_total","Qld",21.3,33.5,1.0023,0.9947,1.0099,37.6,1.0057,0.9918,1.0199,26676,54,"Mental Health"
"mh_total","SA",22.9,33.7,1.0017,0.9952,1.0083,37.5,1.0056,0.9937,1.0177,31616,64,"Mental Health"
"mh_total","Tas",23.3,33.8,1.0033,0.9967,1.0099,37.6,1.011,0.9988,1.0233,32604,66,"Mental Health"
"mh_total","Vic",23.6,34.1,1.0051,0.9981,1.0121,37.7,1.0145,1.0016,1.0276,28158,57,"Mental Health"
"mh_total","WA",22.7,33.2,1.0017,0.9945,1.0089,36.6,1.0042,0.9929,1.0157,30134,61,"Mental Health"
"resp_total","ACT",22.9,33.7,0.9121,0.8998,0.9246,37.5,0.8947,0.8732,0.9166,34086,69,"Respiratory"
"resp_total","NSW",23,34.2,0.8961,0.8809,0.9115,37.7,0.8921,0.8654,0.9196,25194,51,"Respiratory"
"resp_total","NT",22.5,33,0.9167,0.9045,0.929,37.1,0.894,0.8736,0.9149,33592,68,"Respiratory"
"resp_total","Qld",21.3,33.5,0.9205,0.9058,0.9355,37.6,0.8856,0.8599,0.9121,26676,54,"Respiratory"
"resp_total","SA",22.9,33.7,0.9087,0.896,0.9215,37.5,0.8915,0.8691,0.9145,31616,64,"Respiratory"
"resp_total","Tas",23.3,33.8,0.9105,0.898,0.9232,37.6,0.8919,0.8696,0.9147,32604,66,"Respiratory"
"resp_total","Vic",23.6,34.1,0.9169,0.9041,0.93,37.7,0.9074,0.8844,0.931,28158,57,"Respiratory"
"resp_total","WA",22.7,33.2,0.9029,0.8899,0.9159,36.6,0.8864,0.8666,0.9066,30134,61,"Respiratory"
