"group","label","model","n_params","deviance","dispersion","qaic","rr_p95","rr_p95_lo","rr_p95_hi","delta_qaic","weight"
"cvd_total","Cardiovascular","Primary (full)",115,2757183.2,81.09,34233.5,NA,NA,NA,2438,0
"cvd_total","Cardiovascular","No trend",95,6171113.6,182.05,76296.6,NA,NA,NA,44501.1,0
"cvd_total","Cardiovascular","No seasonality",111,2901949.6,85.31,36010.9,NA,NA,NA,4215.4,0
"cvd_total","Cardiovascular","No precipitation",114,2758350.6,81.12,34245.9,NA,NA,NA,2450.4,0
"cvd_total","Cardiovascular","No SA4 FE",46,156998559.7,4679.92,1936309.6,NA,NA,NA,1904514.1,0
"cvd_total","Cardiovascular","No temperature",95,2783204.6,81.77,34514.5,NA,NA,NA,2719,0
"cvd_total","Cardiovascular","Linear trend",96,2905973.4,85.31,36030.5,NA,NA,NA,4235,0
"cvd_total","Cardiovascular","3 Fourier pairs",117,2559168.8,75.12,31795.5,NA,NA,NA,0,1
"cvd_total","Cardiovascular","With pop offset",115,2678780.5,78.77,33266.6,NA,NA,NA,1471.1,0
"mh_total","Mental Health","Primary (full)",115,861536,25.09,34569.4,NA,NA,NA,1874.5,0
"mh_total","Mental Health","No trend",95,3872894.1,113.14,154557.2,NA,NA,NA,121862.3,0
"mh_total","Mental Health","No seasonality",111,884617.2,25.76,35481.4,NA,NA,NA,2786.5,0
"mh_total","Mental Health","No precipitation",114,861562,25.09,34568.4,NA,NA,NA,1873.5,0
"mh_total","Mental Health","No SA4 FE",46,60158006,1782.52,2397891,NA,NA,NA,2365196.1,0
"mh_total","Mental Health","No temperature",95,869477.7,25.29,34845.9,NA,NA,NA,2151,0
"mh_total","Mental Health","Linear trend",96,877749.2,25.53,35177.6,NA,NA,NA,2482.7,0
"mh_total","Mental Health","3 Fourier pairs",117,814405.3,23.71,32694.9,NA,NA,NA,0,1
"mh_total","Mental Health","With pop offset",115,868335.9,25.3,34840.4,NA,NA,NA,2145.5,0
"resp_total","Respiratory","Primary (full)",115,1160726.8,37.05,31556.2,NA,NA,NA,3529.5,0
"resp_total","Respiratory","No trend",95,1453168.1,48.25,39408.8,NA,NA,NA,11382.1,0
"resp_total","Respiratory","No seasonality",111,1239272.5,39.06,33668.1,NA,NA,NA,5641.4,0
"resp_total","Respiratory","No precipitation",114,1162374.6,37.12,31598.7,NA,NA,NA,3572,0
"resp_total","Respiratory","No SA4 FE",46,20495995.9,614.14,553247.7,NA,NA,NA,525221,0
"resp_total","Respiratory","No temperature",95,1197986.9,38.32,32521.8,NA,NA,NA,4495.1,0
"resp_total","Respiratory","Linear trend",96,1318074.4,43.76,35764.8,NA,NA,NA,7738.1,0
"resp_total","Respiratory","3 Fourier pairs",117,1029799.9,32.74,28026.7,NA,NA,NA,0,1
"resp_total","Respiratory","With pop offset",115,1166856.3,37.23,31721.7,NA,NA,NA,3695,0
