"section","variable","summary"
"Study","Study period","2013-01-07 to 2022-06-20"
"Study","SA4 regions","88"
"Study","Total weeks","494"
"Study","Jurisdictions","8"
"Outcome","Cardiovascular (total)","992,090,252 (mean 22821.4, SD 11338.1)"
"Outcome","CVD: Antithrombotic"," 94,786,467 (mean 2180.4, SD 1070.4)"
"Outcome","CVD: BP Lowering","547,194,080 (mean 12587.3, SD 6182.1)"
"Outcome","CVD: Lipid Modifying","295,800,751 (mean 6804.4, SD 3514.8)"
"Outcome","CVD: Other"," 54,308,614 (mean 1249.3, SD 654)"
"Outcome","Mental Health (total)","356,394,062 (mean 8198.2, SD 4139.5)"
"Outcome","MH: Antidepressants","250,679,612 (mean 5766.5, SD 2882.6)"
"Outcome","MH: Anxiolytics"," 33,357,967 (mean 767.3, SD 490.6)"
"Outcome","MH: Other"," 72,356,105 (mean 1664.4, SD 902.4)"
"Outcome","Respiratory (total)","123,419,222 (mean 2839.1, SD 1495.8)"
"Outcome","Resp: Relievers"," 35,536,325 (mean 817.5, SD 503.6)"
"Outcome","Resp: Preventers"," 58,767,969 (mean 1351.9, SD 715.3)"
"Outcome","Resp: COPD/Other"," 29,115,620 (mean 669.8, SD 345.3)"
"Outcome","Resp: Oral Corticosteroids"," 32,895,361 (mean 756.7, SD 424.6)"
"Climate","Weekly mean Tmax (°C)","22.78 (6.46)"
"Climate","Weekly max Tmax (°C)","26.31 (7)"
"Climate","Weekly mean Tmin (°C)","12.67 (5.64)"
"Climate","Weekly total precip (mm)","14.6 (23.13)"
"Climate","Days above 90th pctl","0.72 (1.41)"
"Climate","Days above 95th pctl","0.37 (0.96)"
"Climate","Days above 99th pctl","0.08 (0.39)"
"Climate","Heatwave days/week","0.17 (0.79)"
